Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,21,Brazil,5510,Production,257,"Oil, palm",2011,2011,tonnes,270000,*,Unofficial figure
QC,Crops,21,Brazil,5510,Production,257,"Oil, palm",2012,2012,tonnes,310000,*,Unofficial figure
QC,Crops,21,Brazil,5510,Production,257,"Oil, palm",2013,2013,tonnes,340000,*,Unofficial figure
QC,Crops,21,Brazil,5510,Production,257,"Oil, palm",2014,2014,tonnes,370000,*,Unofficial figure
QC,Crops,21,Brazil,5510,Production,254,"Oil, palm fruit",2010,2010,tonnes,1292713,,Official data
QC,Crops,21,Brazil,5510,Production,254,"Oil, palm fruit",2011,2011,tonnes,1301192,,Official data
QC,Crops,21,Brazil,5510,Production,254,"Oil, palm fruit",2012,2012,tonnes,1240992,,Official data
QC,Crops,21,Brazil,5510,Production,254,"Oil, palm fruit",2013,2013,tonnes,1246835,,Official data
QC,Crops,21,Brazil,5510,Production,254,"Oil, palm fruit",2014,2014,tonnes,1393873,,Official data
QC,Crops,21,Brazil,5510,Production,339,Oilseeds nes,2010,2010,tonnes,22810,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,339,Oilseeds nes,2011,2011,tonnes,23667,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,339,Oilseeds nes,2012,2012,tonnes,25500,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,339,Oilseeds nes,2013,2013,tonnes,25500,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,339,Oilseeds nes,2014,2014,tonnes,25767,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,260,Olives,2010,2010,tonnes,56,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,260,Olives,2011,2011,tonnes,77,,Official data
QC,Crops,21,Brazil,5510,Production,260,Olives,2012,2012,tonnes,291,,Official data
QC,Crops,21,Brazil,5510,Production,260,Olives,2013,2013,tonnes,265,,Official data
QC,Crops,21,Brazil,5510,Production,260,Olives,2014,2014,tonnes,512,,Official data
QC,Crops,21,Brazil,5510,Production,403,"Onions, dry",2010,2010,tonnes,1753311,,Official data
QC,Crops,21,Brazil,5510,Production,403,"Onions, dry",2011,2011,tonnes,1523316,,Official data
